Model,Metric,Mean (Same Folder),Mean (Different Folder),Std (Same Folder),Std (Different Folder),Min (Same Folder),Max (Same Folder),Min (Different Folder),Max (Different Folder),Separation (Mean Diff),Dynamic Range (Same Folder),Dynamic Range (Different Folder),SNR,Kurtosis (Same Folder),Kurtosis (Different Folder),Skewness (Same Folder),Skewness (Different Folder),Overlap Percentage,Separation Ratio,Median (Same Folder),Median (Different Folder),Suggested Threshold,False Positive Rate,False Negative Rate
ArcFace,canberra,288.57027485723876,361.6158679335201,17.767432311919205,10.166145018549868,251.17820526307023,315.5867641692955,339.27261733128455,380.24910217278995,73.04559307628136,64.4085589062253,40.976484841505396,2.6149745237465707,-0.6707035813908626,-0.4205893558805016,-0.5056679872520468,-0.34223154807527256,0.493020803687887,0.6931305475484446,292.7435375919607,360.9422984296024,325.0930713953794,0.0,0.0
ArcFace,manhattan,67.73909114598646,99.41941334981703,6.7070386233439745,6.071995081884171,53.53604758018628,78.70775975938886,85.79562870250084,109.11208613630151,31.68032220383057,25.171712179202586,23.31645743380068,2.479085894488998,-0.915965701901746,-0.17276210013842164,-0.286335034613652,-0.6224816629613764,1.7993389810099494,0.6533618912959489,68.13198211669805,100.06608228059486,83.57925224790175,0.0,0.0
ArcFace,hausdorff,3.7955143715524002,5.5356174853595475,0.38436850639843256,0.3129417976158638,3.01059263668153,4.442466110875929,4.87317379206664,6.1560622237806495,1.7401031138071472,1.4318734741943993,1.2828884317140092,2.4954501658582564,-0.9839694182274807,-0.23823542053398894,-0.18188410944700353,-0.21832195352457,1.3242318366870258,0.6409781682953435,3.7832595677177925,5.516811383735773,4.665565928455974,0.0,0.0
ArcFace,euclidean,3.795514371552401,5.535617485359544,0.3843685063984327,0.3129417976158639,3.01059263668153,4.442466110875932,4.8731737920666385,6.156062223780649,1.7401031138071428,1.431873474194402,1.2828884317140101,2.4954501658582497,-0.9839694182274767,-0.2382354205339876,-0.18188410944700784,-0.21832195352455763,1.324231836687062,0.6409781682953409,3.783259567717793,5.516811383735769,4.6655659284559725,0.0,0.0
ArcFace,minkowski,1.585255743301024,2.300271276952701,0.165859326996357,0.122832108627841,1.2564025162876338,1.8758764624771578,2.064155333681731,2.567607830079433,0.7150155336516772,0.619473946189524,0.5034524963977018,2.4767466069982196,-0.9370964402891264,-0.33071151414030453,-0.04482084100209837,-0.0028908493935364383,1.3087810955283097,0.6367429838095889,1.5563916846109875,2.3051722467795592,1.9427635101268625,0.0,0.0
ArcFace,correlation,0.42859747753925814,0.9077174969100001,0.08655409387161783,0.06362589699041747,0.2604337698655602,0.5692158927878506,0.7842940360511023,0.9917217493660014,0.479120019370742,0.30878212292229035,0.20742771331489918,3.1903052904756897,-0.8362940273533592,-0.9357023019259496,-0.09689643569885474,-0.527506276670669,0.02208788317513976,0.9281497285351893,0.43348428860959204,0.9247425148469178,0.6681574872246292,0.0,0.0
ArcFace,cosine,0.4287427963103957,0.9078335851714803,0.0865953713356491,0.06364022460376566,0.2603537171605772,0.5693590474795565,0.784335754502712,0.9918661821643711,0.4790907888610846,0.30900533031897925,0.20753042766165908,3.188929932785614,-0.8360435502990602,-0.9358431167113634,-0.09904061537875489,-0.5277418791912031,0.02215949222391972,0.927507498675518,0.43359259880313733,0.924887257938776,0.6682881907409379,0.0,0.0
ArcFace,braycurtis,0.5261884185773191,0.9189445797327898,0.06645185278428371,0.06027994607294961,0.40828387124171256,0.6337836046631344,0.8040569491356975,1.0173815352292783,0.39275616115547063,0.22549973342142188,0.21332458609358085,3.0991129668878186,-1.0054320088115711,-1.0624198271415954,-0.1830993765623353,-0.37154717100728757,0.028149125683615297,0.8950191310945402,0.5338345172433482,0.9396470909016611,0.7225664991550544,0.0,0.0
ArcFace,chebyshev,0.5842424707952887,0.853850566521287,0.0869423230456815,0.08581706384666615,0.4236488491296768,0.7684237957000732,0.70583376288414,1.0131069123744965,0.2696080957259983,0.3447749465703964,0.30727314949035645,1.5605988223030707,-0.6654147136105579,-0.9517289181469888,0.0008195951270952794,0.21934120613032917,14.430892495658403,0.41347884819355146,0.5966730713844299,0.8430343270301819,0.7190465186582878,5.0,4.0
ArcFace,hamming,4.4,4.64,2.4166091947189146,2.5436980952935433,1.0,10.0,0.0,10.0,0.23999999999999932,9.0,10.0,0.04838409920353877,-0.2027115781572535,-0.18075868708303533,0.866435342964876,0.5805235144043672,86.11735510846059,0.012631578947368386,3.5,4.0,4.52,40.0,56.00000000000001
